Model,Run,TrainLoss,TestLoss,TrainAccPct,TestAccPct
CNN1,1,0.0112140579149127,0.03479914,99.6643396596976,98.96
CNN1,2,0.00162109069060534,0.03465284,99.7750361549037,98.97
CNN1,3,0.11017582565546,0.0405408,99.5589994465175,98.8
CNN1,4,0.00855261366814375,0.03466575,99.5625703012016,98.88
CNN1,5,0.00474474765360355,0.03176888,99.7518255994572,99.12
CNN2,1,0.0161332618445158,0.03188251,99.7179024799586,98.88
CNN2,2,0.0104387085884809,0.03006452,99.6964773518542,99.04
CNN2,3,0.00487892562523484,0.02563456,99.8482386759271,99.21
CNN2,4,0.000653763534501195,0.02338978,99.7893195736399,99.32
CNN2,5,0.00152392918244004,0.03897168,99.583995429306,98.9
CNN3,1,0.037882711738348,0.02969793,99.737542180721,99.05
CNN3,2,0.0112233096733689,0.02485626,99.8161009837705,99.29
CNN3,3,0.0329457856714725,0.0228786,99.8196718384545,99.38
CNN3,4,0.0211640726774931,0.03532908,99.5250763270189,98.99
CNN3,5,0.00138763536233455,0.02850544,99.6946919245121,99.16
