Dropout,Run,TrainLoss,TestLoss,TrainAccPct,TestAccPct,BestValEpoch,BestValLoss
0,1,0.000874532328452915,0.0333641,99.5018657715724,98.91,2623,0.0248354487121105
0,2,0.00278674205765128,0.0268025,99.7589673088254,99.11,3497,0.0383231602609158
0,3,0.00125483574811369,0.02629544,99.7553964541413,99.18,8741,0.0254160556942225
0,4,0.0128485290333629,0.03292255,99.5500723098073,99.03,5245,0.0215024035423994
0,5,0.00189879129175097,0.04085437,99.5232908996768,98.68,9615,0.0229535661637783
0.3,1,0.0487965941429138,0.0219759,99.8214572657966,99.32,5245,0.0270532835274935
0.3,2,0.0109913172200322,0.02775261,99.7696798728776,99.23,5245,0.0276538748294115
0.3,3,0.0049281301908195,0.02209694,99.7357567533789,99.3,2623,0.0317960381507874
0.3,4,0.00576919317245483,0.0294242,99.637558249567,99.05,3497,0.0351826809346676
0.3,5,0.00101268396247178,0.03422321,99.5929225660162,99.02,7867,0.0255514290183783
0.5,1,0.0340256951749325,0.02426959,99.7464693174311,99.31,10489,0.0342399999499321
0.5,2,0.00379311572760344,0.02580471,99.7857487189559,99.26,7867,0.0250195506960154
0.5,3,0.140111237764359,0.02827022,99.6571979503294,99.28,11363,0.0271317791193724
0.5,4,0.00422379281371832,0.02316866,99.7054044885643,99.3,4371,0.0212835241109133
0.5,5,0.00100752082653344,0.0253585,99.7661090181935,99.28,10489,0.0200263429433107
